Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,113000,115000,340000,260000,80000,85000,82000,85000,115000,118000,NA,NA,270000,320000,120000,100000
Dar es Salaam,Kinondoni,130000,130000,280000,320000,150000,150000,130000,130000,180000,180000,200000,200000,330000,360000,55000,60000
Dar es Salaam,Temeke,110000,114000,370000,320000,110000,160000,130000,140000,160000,200000,200000,220000,250000,350000,80000,85000
Dar es Salaam,Ilala,113000,113000,335000,270000,NA,NA,NA,NA,NA,NA,NA,NA,340000,360000,73000,75000
Dodoma,Majengo,115000,120000,275000,320000,90000,122000,120000,132000,148000,152000,184000,188000,280000,320000,98000,125000
Iringa,Iringa,100000,100000,350000,250000,150000,150000,180000,200000,150000,150000,200000,200000,270000,350000,80000,80000
Katavi,Mpanda,120000,128000,200000,250000,NA,NA,NA,NA,NA,NA,NA,NA,250000,300000,75000,75000
Lindi,Lindi,100000,180000,250000,400000,180000,300000,NA,NA,NA,NA,250000,400000,280000,480000,140000,200000
Mara,Musoma,110000,110000,220000,220000,130000,130000,250000,250000,250000,250000,140000,140000,NA,NA,105000,105000
Morogoro,Morogoro,101525,117895,270000,320000,120000,125000,100000,110000,160000,170000,210000,220000,300000,320000,66000,62500
Mtwara,Mtwara,95000,135000,340000,400000,250000,250000,NA,NA,200000,200000,NA,NA,300000,300000,NA,NA
Mwanza,Mwanza,122000,124000,340000,280000,150000,200000,NA,NA,100000,NA,200000,NA,270000,200000,150000,30000
Rukwa,Sumbawanga,90000,130000,270000,350000,NA,NA,NA,NA,NA,NA,180000,184000,150000,280000,250000,125000
Ruvuma,Songea,85000,100000,260000,235000,100000,NA,NA,NA,NA,NA,190500,NA,250000,320000,30000,110000
Shinyanga,Shinyanga,115000,90000,250000,290000,160000,NA,NA,NA,NA,NA,NA,NA,300000,290000,....... ,100000
Tabora,Tabora,114000,170000,340000,260000,200000,110000,120000,NA,180000,NA,200000,NA,280000,NA,90000,90000
Tanga,Tanga,118000,125000,290000,290000,NA,170000,NA,200000,190000,200000,NA,200000,350000,270000,150000,100000
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
, , , , , , , , , , , , , , , , ,
Tanga,Tanga,330000,140000,190500,280500
